ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Default
5008804,M,Y,Y,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,None,2,0
5008805,M,Y,Y,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,None,2,0
5008806,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2,0
5008808,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,0
5008810,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,0
5008811,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,0
5008812,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,None,1,0
5008813,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,None,1,0
5008814,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,None,1,0
5008815,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,0
5008824,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,0
5008825,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2,0
